"","observ","barrio","calle","altura","institu1","institu3","distanci","edpub","estserv","banco","totrob","mes","totrob2","category","month","month.label"
"1",1,"Belgrano","Congreso","a2000",0,0,5,0,0,0,0,4,0,4,4,"April"
"2",1,"Belgrano","Congreso","a2000",0,0,5,0,0,0,0,5,0,4,5,"May"
"3",1,"Belgrano","Congreso","a2000",0,0,5,0,0,0,0,6,0,4,6,"June"
"4",1,"Belgrano","Congreso","a2000",0,0,5,0,0,0,0,7,0,4,7,"July (1-17)"
"5",1,"Belgrano","Congreso","a2000",0,0,5,0,0,0,0,8,0,4,9,"August"
"6",1,"Belgrano","Congreso","a2000",0,0,5,0,0,0,0,9,0,4,10,"September"
"7",1,"Belgrano","Congreso","a2000",0,0,5,0,0,0,0,10,0,4,11,"October"
"8",1,"Belgrano","Congreso","a2000",0,0,5,0,0,0,0,11,0,4,12,"November"
"9",1,"Belgrano","Congreso","a2000",0,0,5,0,0,0,0,12,0,4,13,"December"
"10",1,"Belgrano","Congreso","a2000",0,0,5,0,0,0,0,73,0,4,8,"July (18-31)"
"11",2,"Belgrano","Congreso","a2100",0,0,5,0,0,0,0,4,0,4,4,"April"
"12",2,"Belgrano","Congreso","a2100",0,0,5,0,0,0,0,5,0,4,5,"May"
"13",2,"Belgrano","Congreso","a2100",0,0,5,0,0,0,0,6,0,4,6,"June"
"14",2,"Belgrano","Congreso","a2100",0,0,5,0,0,0,0,7,0,4,7,"July (1-17)"
"15",2,"Belgrano","Congreso","a2100",0,0,5,0,0,0,0,8,0,4,9,"August"
"16",2,"Belgrano","Congreso","a2100",0,0,5,0,0,0,0,9,0,4,10,"September"
"17",2,"Belgrano","Congreso","a2100",0,0,5,0,0,0,0,10,0,4,11,"October"
"18",2,"Belgrano","Congreso","a2100",0,0,5,0,0,0,0,11,0,4,12,"November"
"19",2,"Belgrano","Congreso","a2100",0,0,5,0,0,0,1.25,12,1.25,4,13,"December"
"20",2,"Belgrano","Congreso","a2100",0,0,5,0,0,0,0,73,0,4,8,"July (18-31)"
"21",3,"Belgrano","Congreso","a2200",0,0,4,0,0,0,0,4,0,4,4,"April"
"22",3,"Belgrano","Congreso","a2200",0,0,4,0,0,0,0,5,0,4,5,"May"
"23",3,"Belgrano","Congreso","a2200",0,0,4,0,0,0,1,6,1,4,6,"June"
"24",3,"Belgrano","Congreso","a2200",0,0,4,0,0,0,0,7,0,4,7,"July (1-17)"
"25",3,"Belgrano","Congreso","a2200",0,0,4,0,0,0,0,8,0,4,9,"August"
"26",3,"Belgrano","Congreso","a2200",0,0,4,0,0,0,0,9,0,4,10,"September"
"27",3,"Belgrano","Congreso","a2200",0,0,4,0,0,0,0,10,0,4,11,"October"
"28",3,"Belgrano","Congreso","a2200",0,0,4,0,0,0,0,11,0,4,12,"November"
"29",3,"Belgrano","Congreso","a2200",0,0,4,0,0,0,0.25,12,0.25,4,13,"December"
"30",3,"Belgrano","Congreso","a2200",0,0,4,0,0,0,0,73,0,4,8,"July (18-31)"
"31",4,"Belgrano","Congreso","a2300",0,0,3,0,0,0,0,4,0,4,4,"April"
"32",4,"Belgrano","Congreso","a2300",0,0,3,0,0,0,0,5,0,4,5,"May"
"33",4,"Belgrano","Congreso","a2300",0,0,3,0,0,0,0,6,0,4,6,"June"
"34",4,"Belgrano","Congreso","a2300",0,0,3,0,0,0,0,7,0,4,7,"July (1-17)"
