observ,barrio,calle,altura,institu1,institu3,distanci,edpub,estserv,banco,totrob,mes,totrob2
1,Belgrano,Congreso,a2000,0,0,5,0,0,0,0,4,0
1,Belgrano,Congreso,a2000,0,0,5,0,0,0,0,5,0
1,Belgrano,Congreso,a2000,0,0,5,0,0,0,0,6,0
1,Belgrano,Congreso,a2000,0,0,5,0,0,0,0,7,0
1,Belgrano,Congreso,a2000,0,0,5,0,0,0,0,8,0
1,Belgrano,Congreso,a2000,0,0,5,0,0,0,0,9,0
1,Belgrano,Congreso,a2000,0,0,5,0,0,0,0,10,0
1,Belgrano,Congreso,a2000,0,0,5,0,0,0,0,11,0
1,Belgrano,Congreso,a2000,0,0,5,0,0,0,0,12,0
1,Belgrano,Congreso,a2000,0,0,5,0,0,0,0,72,0
1,Belgrano,Congreso,a2000,0,0,5,0,0,0,0,73,0
2,Belgrano,Congreso,a2100,0,0,5,0,0,0,0,4,0
2,Belgrano,Congreso,a2100,0,0,5,0,0,0,0,5,0
2,Belgrano,Congreso,a2100,0,0,5,0,0,0,0,6,0
2,Belgrano,Congreso,a2100,0,0,5,0,0,0,0,7,0
2,Belgrano,Congreso,a2100,0,0,5,0,0,0,0,8,0
2,Belgrano,Congreso,a2100,0,0,5,0,0,0,0,9,0
2,Belgrano,Congreso,a2100,0,0,5,0,0,0,0,10,0
2,Belgrano,Congreso,a2100,0,0,5,0,0,0,0,11,0
2,Belgrano,Congreso,a2100,0,0,5,0,0,0,1.25,12,1.25
2,Belgrano,Congreso,a2100,0,0,5,0,0,0,0,72,0
2,Belgrano,Congreso,a2100,0,0,5,0,0,0,0,73,0
3,Belgrano,Congreso,a2200,0,0,4,0,0,0,0,4,0
3,Belgrano,Congreso,a2200,0,0,4,0,0,0,0,5,0
3,Belgrano,Congreso,a2200,0,0,4,0,0,0,1,6,1
3,Belgrano,Congreso,a2200,0,0,4,0,0,0,0,7,0
3,Belgrano,Congreso,a2200,0,0,4,0,0,0,0,8,0
3,Belgrano,Congreso,a2200,0,0,4,0,0,0,0,9,0
3,Belgrano,Congreso,a2200,0,0,4,0,0,0,0,10,0
3,Belgrano,Congreso,a2200,0,0,4,0,0,0,0,11,0
3,Belgrano,Congreso,a2200,0,0,4,0,0,0,.25,12,.25
3,Belgrano,Congreso,a2200,0,0,4,0,0,0,0,72,0
3,Belgrano,Congreso,a2200,0,0,4,0,0,0,0,73,0
4,Belgrano,Congreso,a2300,0,0,3,0,0,0,0,4,0
4,Belgrano,Congreso,a2300,0,0,3,0,0,0,0,5,0
4,Belgrano,Congreso,a2300,0,0,3,0,0,0,0,6,0
4,Belgrano,Congreso,a2300,0,0,3,0,0,0,0,7,0
4,Belgrano,Congreso,a2300,0,0,3,0,0,0,.25,8,.25
4,Belgrano,Congreso,a2300,0,0,3,0,0,0,0,9,0
4,Belgrano,Congreso,a2300,0,0,3,0,0,0,0,10,0
4,Belgrano,Congreso,a2300,0,0,3,0,0,0,0,11,0
4,Belgrano,Congreso,a2300,0,0,3,0,0,0,.25,12,.25
4,Belgrano,Congreso,a2300,0,0,3,0,0,0,0,72,0
4,Belgrano,Congreso,a2300,0,0,3,0,0,0,0,73,0
5,Belgrano,Congreso,a2400,0,0,2,0,0,0,0,4,0
5,Belgrano,Congreso,a2400,0,0,2,0,0,0,0,5,0
5,Belgrano,Congreso,a2400,0,0,2,0,0,0,0,6,0
5,Belgrano,Congreso,a2400,0,0,2,0,0,0,0,7,0
5,Belgrano,Congreso,a2400,0,0,2,0,0,0,.25,8,.25
5,Belgrano,Congreso,a2400,0,0,2,0,0,0,0,9,0
5,Belgrano,Congreso,a2400,0,0,2,0,0,0,0,10,0
5,Belgrano,Congreso,a2400,0,0,2,0,0,0,0,11,0
5,Belgrano,Congreso,a2400,0,0,2,0,0,0,.25,12,.25
5,Belgrano,Congreso,a2400,0,0,2,0,0,0,0,72,0
5,Belgrano,Congreso,a2400,0,0,2,0,0,0,0,73,0
6,Belgrano,Congreso,a2500,0,1,1,0,0,0,0,4,0
6,Belgrano,Congreso,a2500,0,1,1,0,0,0,0,5,0
6,Belgrano,Congreso,a2500,0,1,1,0,0,0,0,6,0
6,Belgrano,Congreso,a2500,0,1,1,0,0,0,0,7,0
6,Belgrano,Congreso,a2500,0,1,1,0,0,0,0,8,0
6,Belgrano,Congreso,a2500,0,1,1,0,0,0,0,9,0
6,Belgrano,Congreso,a2500,0,1,1,0,0,0,0,10,0
6,Belgrano,Congreso,a2500,0,1,1,0,0,0,0,11,0
6,Belgrano,Congreso,a2500,0,1,1,0,0,0,1,12,1
6,Belgrano,Congreso,a2500,0,1,1,0,0,0,0,72,0
6,Belgrano,Congreso,a2500,0,1,1,0,0,0,0,73,0
7,Belgrano,Congreso,a2600,0,1,1,0,0,0,0,4,0
7,Belgrano,Congreso,a2600,0,1,1,0,0,0,0,5,0
7,Belgrano,Congreso,a2600,0,1,1,0,0,0,0,6,0
7,Belgrano,Congreso,a2600,0,1,1,0,0,0,0,7,0
7,Belgrano,Congreso,a2600,0,1,1,0,0,0,0,8,0
7,Belgrano,Congreso,a2600,0,1,1,0,0,0,0,9,0
7,Belgrano,Congreso,a2600,0,1,1,0,0,0,0,10,0
7,Belgrano,Congreso,a2600,0,1,1,0,0,0,0,11,0
7,Belgrano,Congreso,a2600,0,1,1,0,0,0,.25,12,.25
7,Belgrano,Congreso,a2600,0,1,1,0,0,0,0,72,0
7,Belgrano,Congreso,a2600,0,1,1,0,0,0,0,73,0
8,Belgrano,Congreso,a2700,0,1,1,0,0,0,0,4,0
8,Belgrano,Congreso,a2700,0,1,1,0,0,0,.25,5,.25
8,Belgrano,Congreso,a2700,0,1,1,0,0,0,0,6,0
8,Belgrano,Congreso,a2700,0,1,1,0,0,0,0,7,0
